Gender_0F_1M,MLSC_Use,VLE_Use,Maths_Achievement,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,DeepMotive,DeepStrategy,SurfaceMotive,SurfaceStrategy
0,10,897,88.40,13,15,20,15,16,20,18,10,13
0,0,853,70.25,16,19,17,11,10,15,18,9,10
0,22,832,58.25,6,17,17,12,12,20,19,12,16
0,22,558,68.90,17,20,13,12,10,19,17,12,18
0,8,540,78.17,15,17,9,13,,19,,11,17
0,38,520,68.67,19,20,14,12,13,17,16,9,14
0,18,518,91.00,10,14,17,16,14,21,18,11,15
0,15,476,69.25,15,17,16,8,10,20,12,12,18
0,3,457,66.33,12,16,15,8,14,19,15,13,15
0,5,429,51.90,15,12,16,14,16,16,14,14,16
0,2,422,73.60,10,16,16,12,12,19,18,11,17
0,0,379,67.00,8,14,18,8,13,15,14,10,11
0,30,367,89.00,15,17,19,11,13,19,18,10,14
0,42,357,58.67,9,18,15,11,,21,19,5,8
0,0,357,63.00,18,17,14,13,15,14,12,10,13
0,10,350,62.50,13,16,11,11,12,16,13,14,18
0,0,345,59.67,14,17,12,9,13,15,15,12,13
0,12,328,75.10,6,16,15,8,8,18,11,12,17
0,1,326,74.60,16,18,16,,13,18,16,10,18
0,29,324,71.80,10,16,18,14,8,13,13,15,21
0,4,297,84.00,17,15,14,11,15,19,19,11,17
0,3,286,84.00,11,14,16,8,14,15,14,10,15
0,19,284,55.33,14,17,17,,16,13,14,13,14
0,1,283,50.00,17,17,12,10,14,16,14,10,19
0,8,282,70.67,12,17,17,9,16,16,13,16,19
0,1,269,61.70,16,16,15,7,13,10,11,15,17
0,0,251,65.67,16,16,10,12,16,14,15,13,19
0,17,220,77.10,15,17,12,12,14,14,14,7,18
0,2,216,60.80,16,16,14,13,15,16,15,10,13
0,0,205,69.00,15,20,12,13,15,20,18,10,16
0,0,204,59.50,13,15,18,11,11,18,13,17,19
0,0,178,62.70,9,16,16,13,15,16,15,12,14
0,1,171,71.10,16,17,13,11,13,16,11,12,18
0,7,,75.75,10,14,16,14,12,22,19,16,17
1,8,,73.10,8,12,16,14,14,14,17,9,14
1,0,,60.75,14,18,19,9,13,16,18,11,14
1,3,744,61.50,10,13,14,13,9,20,13,13,21
1,1,635,47.50,16,18,13,6,15,13,14,21,18
1,1,556,48.20,16,17,15,11,15,19,16,11,14
1,42,546,65.60,12,17,10,12,14,18,9,14,16
1,0,533,67.67,16,13,17,7,16,20,17,7,11
1,11,514,59.00,11,13,14,7,9,18,14,10,14
1,0,511,50.25,13,16,17,11,15,16,13,16,17
1,0,486,60.75,16,18,17,11,16,20,20,17,19
1,1,452,53.43,16,16,15,11,12,16,17,16,16
1,14,448,72.40,16,15,13,9,12,12,13,17,19
1,0,437,76.83,10,16,13,9,11,12,13,16,16
1,1,437,68.60,16,16,10,6,11,15,10,12,19
1,0,406,54.20,14,11,10,12,8,10,14,19,19
1,0,391,43.00,12,10,9,9,15,15,14,17,16
1,18,387,70.40,13,17,11,15,14,17,14,10,11
1,20,377,71.75,11,14,15,9,11,12,12,11,16
1,0,355,59.36,6,15,12,15,19,12,11,17,16
1,0,343,59.30,4,12,10,14,8,9,8,23,21
1,4,338,67.18,11,16,15,6,18,19,17,9,14
1,0,333,72.40,15,18,15,10,14,17,14,10,15
1,100,332,73.25,11,15,18,16,11,16,18,14,17
1,1,328,54.80,14,16,11,9,16,12,14,12,15
1,0,320,51.91,18,16,14,9,20,15,16,12,18
1,0,319,63.17,15,15,13,8,13,9,12,13,15
1,1,318,70.00,13,14,14,8,16,16,16,15,18
1,0,307,61.50,14,14,17,5,11,17,17,13,16
1,7,306,80.10,5,16,17,8,14,14,14,6,12
1,0,301,68.00,10,16,15,8,10,16,14,16,20
1,7,291,88.20,14,16,14,9,15,22,21,7,8
1,2,287,60.60,8,15,10,8,13,13,9,15,20
1,0,281,62.33,10,14,12,10,16,16,15,12,13
1,1,278,63.25,15,18,15,8,14,14,15,10,12
1,0,275,74.90,9,17,14,11,17,16,17,12,13
1,0,270,60.30,10,15,12,12,18,20,18,11,14
1,4,265,68.10,15,16,13,10,14,19,14,11,17
1,0,264,81.60,8,15,13,13,16,14,18,11,13
1,1,263,53.50,8,14,6,14,13,16,10,8,18
1,7,250,67.40,12,15,19,13,12,9,9,18,18
1,3,248,51.70,8,16,16,13,15,17,16,9,14
1,0,246,51.71,14,12,13,10,11,17,18,10,16
1,0,245,64.00,17,14,9,8,12,14,13,12,19
1,0,242,65.50,11,13,13,6,16,17,17,9,10
1,2,241,77.00,16,17,15,12,18,13,12,8,10
1,11,233,55.67,10,13,11,9,15,12,14,17,17
1,7,220,38.77,15,16,16,8,14,17,13,15,15
1,9,193,50.00,14,8,15,9,15,15,17,10,14
1,0,169,48.80,12,13,12,11,14,17,19,14,17
1,0,154,84.60,16,16,11,10,14,16,16,10,11
1,1,150,57.20,11,14,10,8,11,14,17,16,21
1,0,147,64.20,12,17,10,8,16,14,12,13,15
1,0,138,68.50,13,17,15,10,14,19,16,10,12
1,21,108,82.60,17,17,16,8,14,16,15,15,19
1,1,81,54.67,12,16,13,8,13,14,16,10,13
